id,created_at,action_id,building_id,related_kase,type,urgency,urgency_justification,impact,impact_justification,org_id,synopsis,opener_id,requester_id,status,closed_at,reopened_count,assignee_id,duplicate_kase_id,latest_updater_id,resolved_at,latest_updated_at,location_in_lab,lab_space_id,related_remedy_kase_ids,interested_parties,business_group_id,onsite_approval,workflow_id,opener_userid,requester_userid,assignee_userid,latest_updater_userid,action,business_group,building_name,metro_name,org_name,kase_virtual_machines,access_key,approval_manager_id,ban,ccw_shared_configuration_id,justification,kase_participant_ids,lab_contact_id,lab_manager_contact_id,new_supplier_name,project_code,purchase_request_numbers,purchasing_department_number,supplier
1695815,2021-12-08T15:25:06.741Z,28,5,,Procurement::OrderEquipment,High,24 week lead-time to deliver the intended equipment (UCS-C225-M6S),High,10,1,BAN 224687: Procuring of UCS-C225-M6S production units for BullsEye-M6-FMC bring up project release 7.2 and 7.3,261587733,261587733,new,,0,,,261587733,,2021-12-08T15:25:06.732Z,Rack 8 and Rack 10,1243054,,"['vnanduri', 'madamane']",196,False,,gursreen,gursreen,,gursreen,Procurement - Order Equipment,Security-CNS,BANGALORE 12,BANGALORE IND,GLS Lab Services,[],,,224687,BM131065064MI,"Need UCS-M6-C225-S for FMC M6 platform (Project/Program name:  ""BullsEye"") bring up program",,,,,BullsEyeM6FMC,,123028980,Cisco Systems Inc
1695814,2021-12-08T15:22:21.510Z,28,5,,Procurement::OrderEquipment,High,24 week lead-time to deliver the intended equipment (UCS-C225-M6S),High,10,1,BAN 224687: Procuring of UCS-C225-M6S production units for BullsEye-M6-FMC bring up project release 7.2 and 7.3,261587733,261587733,new,,0,,,261587733,,2021-12-08T15:22:21.500Z,Rack 8 and Rack 10,1243054,,"['vnanduri', 'madamane']",196,False,,gursreen,gursreen,,gursreen,Procurement - Order Equipment,Security-CNS,BANGALORE 12,BANGALORE IND,GLS Lab Services,[],,,224687,GL131065061QO,"Need UCS-M6-C225-S for FMC M6 platform (Project/Program name:  ""BullsEye"") bring up program",,,,,BullsEyeM6FMC,,123028980,Cisco Systems Inc
1695813,2021-12-08T15:15:14.450Z,33,5,,TestbedManagement::Support,,,,,1,collect ASR920 from SP-warehouse and install in BB-22 row,84738,84738,new,,0,,,84738,,2021-12-08T15:15:14.443Z,BB-22 / 24 row,-1,,"['lalishar', 'surenbab']",22,False,,agunasek,agunasek,,agunasek,Testbed Management - Support,MIG-Routing,BANGALORE 12,BANGALORE IND,GLS Lab Services,[],,NA,,,,,,,
1695812,2021-12-08T15:10:41.798Z,59,7,,Virtualization::ClvsDecommissionAVm,,,,,1,decommission vm,1058014477,344168756,new,,0,,,1058014477,,2021-12-08T15:10:41.785Z,,,,[],22,False,,vlafonta,ajp2,,vlafonta,Virtualization - CLVS - Decommission A VM,MIG-Routing,BANGALORE 15,BANGALORE IND,GLS Lab Services,"[{'alert_notification_alias': None, 'configuration': '4vCPU / 16GB RAM', 'cost': '132.16', 'created_at': '2021-12-08T15:10:41.821Z', 'l2_connection_required': False, 'metro_id': None, 'name': 'paninidt-w2k8', 'os_profile': None, 'primary_purpose': None, 'rollback_service_required': False, 'secondary_storage': '0.0', 'updated_at': '2021-12-08T15:10:41.821Z', 'virtual_center_id': 92, 'virtual_machine_id': 131749}]","{'alert_notification_alias': None, 'configuration': '4vCPU / 16GB RAM', 'cost': '132.16', 'created_at': '2021-12-08T15:10:41.821Z', 'l2_connection_required': False, 'metro_id': None, 'name': 'paninidt-w2k8', 'os_profile': None, 'primary_purpose': None, 'rollback_service_required': False, 'secondary_storage': '0.0', 'updated_at': '2021-12-08T15:10:41.821Z', 'virtual_center_id': 92, 'virtual_machine_id': 131749}",,,,,,paninidt-w2k8
1695807,2021-12-08T14:51:22.690Z,46,4,,NetworkManagement::ReportAProblem,,,,,1,Username /password for power cycler,248723,248723,new,,0,,,248723,,2021-12-08T14:51:22.684Z,RR36,257,,[],188,False,,deepijai,deepijai,,deepijai,Network Management - Report A Problem,EN&C-EN-Engineering,BANGALORE 11,BANGALORE IND,GLS Lab Services,[],,,,,,,,
1695805,2021-12-08T14:36:37.405Z,141,655,,EquipmentInstallationMoveDisposal::BondedWarehouseEquipmentPickup,,,,,1,BGL12 AGNI LAB: Need to move bond B02582/2122 from bondroom to Agni lab store,312906198,312906198,new,,0,,,312906198,,2021-12-08T14:36:37.398Z,AGNI LAB STORE,-1,,['drajasek'],188,False,,ganessri,ganessri,,ganessri,Equipment Installation/Move/Disposal - Bonded Warehouse - Equipment Pickup,EN&C-EN-Engineering,BANGALORE 18,BANGALORE IND,GLS Lab Services,[],,B02582/2122,http://isecur.cloudapps.cisco.com/CCIT/iSecure/Elink.do?FlowType=ADMIN&ReqType=VIEW_CI_BOE&SET_CI_NO=CI_180801,,,,
1695804,2021-12-08T14:35:30.075Z,141,5,,EquipmentInstallationMoveDisposal::BondedWarehouseEquipmentPickup,,,,,1,BGL12 AGNI LAB: Need to move bond B02572/2122 from bondroom to Agni lab store,312906198,312906198,new,,0,,,312906198,,2021-12-08T14:35:30.066Z,AGNI LAB STORE,-1,,['drajasek'],188,False,,ganessri,ganessri,,ganessri,Equipment Installation/Move/Disposal - Bonded Warehouse - Equipment Pickup,EN&C-EN-Engineering,BANGALORE 12,BANGALORE IND,GLS Lab Services,[],,B02572/2122,http://isecur.cloudapps.cisco.com/CCIT/iSecure/Elink.do?FlowType=ADMIN&ReqType=VIEW_CI_BOE&SET_CI_NO=CI_180767,,,,
1695803,2021-12-08T14:33:39.650Z,216,5,,HostManagement::EsxiOsInstall,,,,,1,BGL12-AGNI LAB: Need to bring up CIMC and ESXI,312906198,312906198,new,,0,,,312906198,,2021-12-08T14:33:39.645Z,AGNI LAB FF-15,-1,,[],188,False,,ganessri,ganessri,,ganessri,Host Management - ESXi OS Install,EN&C-EN-Engineering,BANGALORE 12,BANGALORE IND,GLS Lab Services,[],,,,,,,,,,,,
1695802,2021-12-08T14:13:14.039Z,209,7,,ShippingReceivingRma::Receiving,Medium,Need to collect assets,Medium,5,1,Need to collect follwing assets (Bond No : B02582/2122),1120463251,1120463251,new,,0,,,1120463251,,2021-12-08T14:13:14.032Z,BGL-15 4th floor RASA lab P row.,-1,,[],22,False,,rveerago,rveerago,,rveerago,Shipping/Receiving/RMA - Receiving,MIG-Routing,BANGALORE 15,BANGALORE IND,GLS Lab Services,[],,,,,,,144644053,1120463251
